Month,Tourist Arrival,Number of Posts,Number of Comments,Airbnb Vietnam,Vietnam restaurant,Shopping in Hanoi,Shopping in Ho Chi Minh, Vietnam tour , Skyscanner , Vietnam visa , Vietnam airport , Vietnam flights  , Danang airport , Hoi An , Vietnam weather , Visa for Vietnam , Sgn airport , Phu Quoc , Vietnam itinerary , Vietnam trip , Things to do in Hue , Vietnam backpackers ,CCI,PMI,REERI,Class
01/02/2021,0,20,174,14,46,0,0,17,19,10,13,14,5,15,17,9,16,22,9,17,4,1,96.8,51.6,124,Test
01/03/2021,0,31,249,20,44,2,2,18,21,11,14,16,6,19,15,8,20,30,13,20,4,1,104.9,53.6,126,Test
01/04/2021,0,20,148,16,47,3,2,17,22,11,14,17,8,22,13,9,21,33,9,19,4,1,108.3,54.7,125,Test
01/05/2021,0,15,88,12,50,1,0,20,30,13,14,17,4,18,15,11,17,26,16,26,5,1,102.9,53.1,124,Test
01/06/2021,0,18,83,18,56,0,1,18,38,12,16,15,4,17,15,11,17,19,13,26,0,0,105.5,44.1,125,Test
01/07/2021,0,9,89,14,63,1,2,16,35,11,15,16,5,16,16,9,17,20,9,20,5,0,101.2,45.1,127,Test
01/08/2021,0,8,51,15,65,0,5,17,36,10,17,15,2,15,14,9,17,17,14,26,2,3,90.3,40.2,127,Test
01/09/2021,0,12,94,10,57,1,4,17,38,10,15,14,0,17,15,10,20,22,11,24,4,2,92.8,40.2,127,Test
01/10/2021,0,11,110,17,63,0,4,17,42,12,14,19,7,19,17,10,10,21,14,23,5,0,91.7,52.1,128,Test
01/11/2021,400,10,64,11,59,4,9,19,37,13,19,21,2,16,16,13,20,22,16,29,2,2,87.4,47.4,129,Test
01/12/2021,3100,10,66,11,59,2,2,15,28,12,14,21,6,17,17,10,21,24,8,21,5,3,90.6,46.4,130,Test
01/01/2022,5800,30,190,28,63,2,2,17,46,18,24,27,2,15,21,15,27,24,12,25,3,0,87.2,53.7,126,Test
01/02/2022,1558,44,347,26,65,0,4,22,57,24,28,33,11,17,22,20,27,29,16,28,1,3,82.8,54.3,126,Test
01/03/2022,15000,103,731,36,61,3,3,25,64,41,36,39,7,19,25,30,31,29,30,38,8,3,79.4,51.7,127,Test
01/04/2022,70000,185,1470,44,69,5,4,34,65,47,50,45,24,26,33,45,39,36,37,50,8,4,85.2,51.7,128,Test
01/05/2022,136000,249,1794,45,70,6,8,39,70,47,56,48,29,27,36,48,46,37,46,48,6,5,78.4,54.7,130,Test
01/06/2022,185000,223,1511,56,67,9,10,45,77,59,63,52,37,29,38,60,58,39,58,60,9,4,70,54,131,Test
01/07/2022,320000,282,1963,58,78,11,11,52,68,63,76,57,48,38,43,72,58,41,67,65,11,6,71.5,51.2,133,Test
01/08/2022,486407,336,2266,53,80,11,12,53,71,68,76,59,44,37,41,75,60,35,71,65,9,9,78.2,52.7,133,Test
01/09/2022,431909,330,2323,54,75,12,12,56,72,70,78,59,49,35,50,81,70,36,76,71,12,6,78.6,52.5,136,Test
01/10/2022,484355,438,3154,56,77,18,17,55,65,73,85,60,51,39,49,81,65,43,71,72,9,8,79.9,50.6,137,Test
01/11/2022,596919,457,3385,53,81,25,18,61,67,79,89,58,55,46,48,88,76,48,75,76,16,6,76.8,47.4,135,Test
01/12/2022,707071,410,2877,50,83,19,20,61,59,74,91,60,69,50,57,82,72,57,70,73,18,9,79.7,46.4,132,Test
01/01/2023,871162,499,3687,63,86,14,13,65,83,95,100,77,62,50,60,90,80,53,97,85,17,10,84.9,47.4,131,Test
01/02/2023,932969,481,3576,64,88,15,17,70,78,90,93,68,80,58,59,90,76,53,91,80,12,9,87,51.2,132,Test
01/03/2023,895425,543,4058,65,84,18,12,72,73,86,95,63,66,55,50,84,81,50,81,83,18,8,82,47.7,132,Test
01/04/2023,984146,422,3135,58,90,15,19,77,73,82,95,68,55,55,57,93,86,49,100,96,17,5,83.5,46.7,131,Test
01/05/2023,916257,347,2609,56,82,21,18,75,70,86,90,67,72,52,61,94,72,41,89,92,10,8,79.2,45.3,131,Test
01/06/2023,975010,328,2339,63,86,20,16,73,69,85,92,68,55,45,57,91,85,39,89,92,12,6,84.4,46.2,131,Test
