Month,Tourist Arrival,NegativityQDAP,PositivityQDAP,TOPIC 1,TOPIC 2,TOPIC 3,TOPIC 4,TOPIC 5,TOPIC 6,TOPIC 7,TOPIC 8,TOPIC 9,TOPIC 10,CCI,PMI,REERI,Class
01/04/2017,1071650,0,0,0.014135199,0.009988692,0.015150632,0.015650706,0.020560638,0.001998211,0.022333698,0.882421651,0.01435064,0.005248832,117,54.1,126,Train
01/05/2017,972844,0,0.13333333,0.008514461,0.005341886,0.006604058,0.009260127,0.009205048,0.001646632,0.930589307,0.015745888,0.008036582,0.005056012,117.1,51.6,125,Train
01/06/2017,949362,0.33333333,0.22222222,0.005834407,0.005934651,0.006001402,0.011983446,0.927560701,0.001354809,0.010686316,0.018469005,0.005664347,0.006510914,115,52.5,124,Train
01/07/2017,1036880,0.33333333,0,0.008884087,0.006778451,0.007243582,0.014327108,0.911635684,0.001640243,0.01395461,0.022292015,0.007130252,0.007867429,113.4,51.2,122,Train
01/08/2017,1229163,0,0.28571429,0.012179983,0.007383066,0.00571812,0.008051689,0.006072612,0.003159322,0.011956572,0.011958971,0.007129792,0.007657454,116.8,51.8,121,Train
01/09/2017,975952,0,0,0.012179983,0.00912839,0.007594759,0.014641461,0.906773324,0.001711696,0.015464724,0.022522487,0.007231962,0.007593072,115.1,53.3,120,Train
01/10/2017,1024899,0,0.11111111,0.007981387,0.170405722,0.011474087,0.703680107,0.015583183,0.002717024,0.016358894,0.038060769,0.016454031,0.0104545,120.7,51.6,122,Train
01/11/2017,1172568,0.11111111,0.22222222,0.007981387,0.492550246,0.014970473,0.023895591,0.011777803,0.006310832,0.017296301,0.02360924,0.374705089,0.019586282,118.5,51.4,122,Train
01/12/2017,1276353,0.2,0,0.007981387,0.02144863,0.090930037,0.015419171,0.019325495,0.006168289,0.150906948,0.073752274,0.586381505,0.019548854,115.9,52.5,122,Train
01/01/2018,1430242,0.09090909,0.09090909,0.006297999,0.005028288,0.008250816,0.008000904,0.010879817,0.001030511,0.012307226,0.938607929,0.007159079,0.002437431,115.7,53.4,120,Train
01/02/2018,1431845,0,0,0.012179983,0.006967338,0.935517709,0.005990695,0.006694848,0.001082667,0.009213253,0.014385936,0.007225222,0.006920602,119.7,53.5,119,Train
01/03/2018,1343314,0,0,0.014135199,0.011381459,0.226956357,0.023045057,0.206936544,0.003235669,0.395485908,0.093885831,0.013132753,0.011390686,121.4,51.6,119,Train
01/04/2018,1341913,0,0.2,0.012179983,0.006951088,0.007641142,0.01446613,0.904573657,0.001776896,0.013006945,0.02040897,0.008083914,0.015541754,118.8,52.7,120,Train
01/05/2018,1161114,0.1875,0,0.012179983,0.007012713,0.010107545,0.011178994,0.015107977,0.001407626,0.015954034,0.917301218,0.009879393,0.003465105,118,53.9,123,Train
01/06/2018,1183102,0,0,0.007981387,0.035332634,0.022527364,0.027947603,0.028069134,0.364967162,0.048521652,0.046709579,0.046661752,0.030757179,118.2,55.7,124,Train
01/07/2018,1188817,0.22222222,0.11111111,0.014135199,0.010608064,0.004322554,0.936775985,0.009194112,0.00092615,0.009927782,0.011410089,0.004481376,0.006354143,117.9,54.9,124,Train
01/08/2018,1323546,0,0.18181818,0.014135199,0.010361898,0.007362124,0.010372141,0.008423815,0.003710869,0.014982141,0.015488478,0.009079509,0.009632974,116.2,53.7,125,Train
01/09/2018,1212597,0.125,0.125,0.014135199,0.012354578,0.007115318,0.007924722,0.006390585,0.00343911,0.011407537,0.013869961,0.914977631,0.013865519,120.1,51.5,125,Train
01/10/2018,1205157,0,0.07692308,0.007981387,0.024928978,0.018204512,0.293370148,0.28105738,0.003517684,0.034391468,0.296354531,0.015999068,0.014300417,118.6,53.9,126,Train
01/11/2018,1301909,0,0.21428571,0.014135199,0.010317415,0.014722489,0.019140777,0.799775572,0.002890141,0.020373112,0.023580174,0.015357443,0.082085773,117.5,56.5,127,Train
